row_num,Brown_Dwarf_Name,Constellation,Apparent_Magnitude,Distance_BrownDwarf,Mass_BrownDwarf,Radius_BrownDwarf,Discovery_year,V_mag,Star_name,Distance_Star,Mass_Star,Radius_Star,Gravity
0,2MASS 0036+1821,Pisces,2.480283e+31,19897020000.0,0.040092696,0.0965972199999999,2000.0,0.000−26.74,Sun,0.000015813,1.0,1,1.0174676023277421e-12
1,Teegarden's star,Aries,3.06306e+31,8750514600.0,0.07636704,0.1305090099999999,2003.0,0.001−1.46,Sirius,0008.6,2.1,1.71,6.4965643167047864e-12
2,DEN 0255-4700,Eridanus,4.558788e+31,11270340000.0,0.07636704,0.0996801099999999,2006.0,0.003−0.74,Canopus,0310,15.0,71,5.828687700045725e-12
3,2MASS J03552337+1133437,Taurus,2.794545e+31,20731860000.0,0.01909176,0.13564716,2006.0,0.004−0.27,Alpha Centauri,0004.4,1.1,1.2,1.0559175262375567e-12
4,2MASS J04151954−0935066,Eridanus,3.12273e+31,12940020000.000002,0.02863764,0.0976248499999999,2002.0,0.005−0.05,Arcturus,0037,1.1,26,3.0287258642617636e-12
5,LSR 0602+3910 [de],Auriga,4.153032e+31,24071220000.0,0.026728464,0.1448958299999999,2003.0,0.03,Vega,0025,2.2,2.7,1.1640308730662566e-12
6,DENIS J081730.0-615520,Carina,2.7050399999999996e+31,11200770000.000002,0.042001872,0.0965972199999999,2010.0,0.08,Capella,0043,2.6,12,3.5016550287411745e-12
7,2MASS 0939−2448,Antlia,3.3474869999999996e+31,12105179999.999998,0.030546816,0.0976248499999999,2005.0,0.13,Rigel,0860,23.0,78.9,3.7099821640903686e-12
8,2MASS J1047538+212423 [de],Leo,3.14262e+31,23932080000.0,0.040092696,0.0965972199999999,1999.0,0.34,Procyon,0011.4,1.5,1.9,8.910999188750676e-13
9,DEN 1048-3956,Antlia,3.4608599999999998e+31,9148455000.0,0.073503276,0.10995641,2000.0, 0.45,Betelgeuse,0640[1],20.0,950,6.715586462143444e-12
10,DENIS-P J1058.7−1548,Crater,2.8154295e+31,34089300000.0,0.061093632,0.102763,1997.0,0.46,Achernar,0144,6.7,9.3,3.934630154102457e-13
11,Cha 110913-773444,Chamaeleon,4.294251e+31,113399100000.0,0.007636704,0.1849733999999999,2005.0,0.61,Hadar,0390,10.5,8.6,5.4233000865670514e-14
12,2MASS J11145133−2618235,Hydra,3.154554e+31,12661740000.0,0.031501404,0.0986524799999999,2005.0,0.76,Altair,0017,1.8,1.8,3.1955572998430144e-12
